,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,LSTM_CE_1_1_800_90_1_100_0.69_adam_1.0092243575868021e-05,1,1,45.4395534992218,0.4449915289878845,0.667076826095581,0.5164792537689209,264.6640930175781
1,LSTM_CE_1_2_800_90_1_100_0.69_adam_1.0092243575868021e-05,1,2,48.99976181983948,0.40597623586654663,0.6371626853942871,0.4842180609703064,431.96685791015625
2,LSTM_CE_1_3_800_90_1_100_0.69_adam_1.0092243575868021e-05,1,3,55.191954612731934,0.4223901927471161,0.6499155163764954,0.4923611879348755,520.818359375
3,LSTM_CE_1_4_800_90_1_100_0.69_adam_1.0092243575868021e-05,1,4,34.146363973617554,0.3814126253128052,0.6175861358642578,0.46674633026123047,416.8323974609375
4,LSTM_CE_1_5_800_90_1_100_0.69_adam_1.0092243575868021e-05,1,5,60.13690900802612,0.3622264266014099,0.6018524765968323,0.4484776258468628,420.7680358886719
