index,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
84,LSTM_CE_800_80.0_3.0_380.0_0.54_adam_3.770113134002588e-05,17,5,32.1174418926239,0.34163299202919006,0.5844937562942505,0.43141067028045654,402.8788146972656
99,LSTM_CE_800_40.0_2.0_480.0_0.61_adam_4.337112807183259e-05,20,5,25.783905506134033,0.34313148260116577,0.5857742428779602,0.4331618547439575,416.0955505371094
264,LSTM_CE_800_20.0_3.0_440.0_0.56_adam_4.73109182276301e-05,53,5,37.76304292678833,0.3442363142967224,0.5867165327072144,0.4328078031539917,410.0440368652344
94,LSTM_CE_800_50.0_2.0_780.0_0.44_adam_2.2484452210081613e-05,19,5,27.404428720474243,0.3444158136844635,0.586869478225708,0.43514034152030945,405.29351806640625
4,LSTM_CE_800_50.0_1.0_680.0_0.68_adam_3.261222035468304e-05,1,5,28.80229425430298,0.3445234000682831,0.5869611501693726,0.4328172504901886,408.9762268066406
284,LSTM_CE_800_10.0_1.0_400.0_0.7_adam_1.7347195699758616e-05,57,5,94.30453157424927,0.34472528100013733,0.5871331095695496,0.4337571859359741,414.0940246582031
454,LSTM_CE_800_100.0_2.0_540.0_0.54_adam_2.583639827546925e-05,91,5,24.257088661193848,0.346105694770813,0.5883074998855591,0.4339916706085205,406.4324035644531
299,LSTM_CE_800_70.0_2.0_460.0_0.54_adam_1.4496982326838482e-05,60,5,45.53796362876892,0.34619250893592834,0.5883812308311462,0.4342128038406372,414.8790588378906
319,LSTM_CE_800_70.0_2.0_520.0_0.58_adam_4.0510499909562534e-05,64,5,18.87580704689026,0.34624719619750977,0.588427722454071,0.43393221497535706,417.15509033203125
14,LSTM_CE_800_10.0_1.0_700.0_0.62_adam_4.183254106089739e-05,3,5,36.04621887207031,0.34624922275543213,0.5884294509887695,0.4359584152698517,408.0740966796875
24,LSTM_CE_800_30.0_3.0_620.0_0.59_adam_3.978223041347375e-05,5,5,30.19867444038391,0.3465102016925812,0.588651180267334,0.43437284231185913,405.7755126953125
304,LSTM_CE_800_20.0_1.0_740.0_0.44_adam_2.382535894370214e-05,61,5,31.9764301776886,0.3465152978897095,0.5886554718017578,0.4353107213973999,410.06298828125
234,LSTM_CE_800_90.0_2.0_660.0_0.67_adam_2.629919739772137e-05,47,5,29.323962450027466,0.346647709608078,0.588767945766449,0.43502065539360046,410.3639831542969
294,LSTM_CE_800_60.0_3.0_800.0_0.64_adam_2.099124628874222e-05,59,5,35.46365523338318,0.34665367007255554,0.5887730121612549,0.4356617331504822,407.02813720703125
199,LSTM_CE_800_30.0_1.0_620.0_0.68_adam_1.9892104935725194e-05,40,5,53.69161653518677,0.34677088260650635,0.5888725519180298,0.43527474999427795,412.67791748046875
29,LSTM_CE_800_40.0_3.0_580.0_0.55_adam_4.50771929125016e-05,6,5,25.12244462966919,0.34720584750175476,0.5892417430877686,0.4348214864730835,408.0380554199219
79,LSTM_CE_800_10.0_2.0_520.0_0.42_adam_4.4771418858230044e-05,16,5,38.58863878250122,0.34731730818748474,0.5893363356590271,0.43623632192611694,408.4794921875
44,LSTM_CE_800_60.0_2.0_680.0_0.63_adam_2.0776081396058173e-05,9,5,35.191524505615234,0.34734758734703064,0.5893620252609253,0.43591591715812683,407.27886962890625
414,LSTM_CE_800_90.0_2.0_600.0_0.59_adam_1.001730675843428e-05,83,5,50.88544678688049,0.3474436402320862,0.5894435048103333,0.4354824721813202,411.8533935546875
