,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,MLP_CE_1_1_800_30.0_2.0_512.0_0.66_adam_1.0720660551788527e-05,1,1,11.500866413116455,0.4168463945388794,0.6456364393234253,0.49642643332481384,533.6854248046875
1,MLP_CE_1_2_800_30.0_2.0_512.0_0.66_adam_1.0720660551788527e-05,1,2,10.533200979232788,0.39552801847457886,0.6289101839065552,0.4764133095741272,503.3323059082031
2,MLP_CE_1_3_800_30.0_2.0_512.0_0.66_adam_1.0720660551788527e-05,1,3,11.76035475730896,0.39448538422584534,0.6280807256698608,0.4753815829753876,483.35504150390625
3,MLP_CE_1_4_800_30.0_2.0_512.0_0.66_adam_1.0720660551788527e-05,1,4,6.185413360595703,0.383404403924942,0.6191965341567993,0.46436676383018494,421.8830871582031
4,MLP_CE_1_5_800_30.0_2.0_512.0_0.66_adam_1.0720660551788527e-05,1,5,11.979869842529297,0.3739566206932068,0.6115199327468872,0.4647118151187897,391.9127197265625
5,MLP_CE_2_1_800_30.0_2.0_416.0_0.55_adam_3.315247706521353e-05,2,1,5.910824775695801,0.42738962173461914,0.6537504196166992,0.5070288181304932,594.6815795898438
6,MLP_CE_2_2_800_30.0_2.0_416.0_0.55_adam_3.315247706521353e-05,2,2,5.792081594467163,0.41816601157188416,0.6466575264930725,0.49235808849334717,533.0112915039062
7,MLP_CE_2_3_800_30.0_2.0_416.0_0.55_adam_3.315247706521353e-05,2,3,6.866177082061768,0.40321600437164307,0.6349928975105286,0.48989519476890564,501.3427734375
8,MLP_CE_2_4_800_30.0_2.0_416.0_0.55_adam_3.315247706521353e-05,2,4,10.859971046447754,0.38293761014938354,0.618819534778595,0.46520301699638367,448.8336181640625
9,MLP_CE_2_5_800_30.0_2.0_416.0_0.55_adam_3.315247706521353e-05,2,5,7.745244741439819,0.3666684031486511,0.6055315136909485,0.45441925525665283,365.5870666503906
10,MLP_CE_3_1_800_20.0_2.0_288.0_0.52_adam_4.416181478675895e-05,3,1,8.463886022567749,0.5107308626174927,0.7146543264389038,0.5734902024269104,697.8345336914062
11,MLP_CE_3_2_800_20.0_2.0_288.0_0.52_adam_4.416181478675895e-05,3,2,7.836904525756836,0.4296723008155823,0.6554939150810242,0.5064859986305237,570.2072143554688
12,MLP_CE_3_3_800_20.0_2.0_288.0_0.52_adam_4.416181478675895e-05,3,3,6.38315224647522,0.40302300453186035,0.6348409056663513,0.4815363883972168,518.9464111328125
13,MLP_CE_3_4_800_20.0_2.0_288.0_0.52_adam_4.416181478675895e-05,3,4,7.3898115158081055,0.3802620470523834,0.6166539192199707,0.4639493227005005,452.05963134765625
