,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,GRU_CE_1_1_800_90.0_1.0_140.0_0.67_adam_0.0002495282720181278,1,1,14.996585607528687,0.5904906988143921,0.7684339284896851,0.5976470708847046,403.88916015625
1,GRU_CE_1_2_800_90.0_1.0_140.0_0.67_adam_0.0002495282720181278,1,2,9.313281536102295,0.5483043193817139,0.7404757142066956,0.5752353668212891,371.5583801269531
2,GRU_CE_1_3_800_90.0_1.0_140.0_0.67_adam_0.0002495282720181278,1,3,9.08679485321045,0.4510098099708557,0.6715726256370544,0.5119942426681519,291.31878662109375
3,GRU_CE_1_4_800_90.0_1.0_140.0_0.67_adam_0.0002495282720181278,1,4,18.423190355300903,0.40155383944511414,0.6336827874183655,0.4743413031101227,249.2107696533203
4,GRU_CE_1_5_800_90.0_1.0_140.0_0.67_adam_0.0002495282720181278,1,5,7.4638659954071045,0.38241469860076904,0.6183968782424927,0.459148108959198,221.16595458984375
5,GRU_CE_2_1_800_60.0_3.0_460.0_0.48_adam_0.00034622861705515043,2,1,8.338934898376465,0.4451138973236084,0.6671685576438904,0.500246524810791,276.722900390625
6,GRU_CE_2_2_800_60.0_3.0_460.0_0.48_adam_0.00034622861705515043,2,2,9.157238483428955,0.518603503704071,0.7201412916183472,0.5596848726272583,324.0002746582031
7,GRU_CE_2_3_800_60.0_3.0_460.0_0.48_adam_0.00034622861705515043,2,3,10.637065649032593,0.433663010597229,0.6585309505462646,0.4983711242675781,270.49725341796875
8,GRU_CE_2_4_800_60.0_3.0_460.0_0.48_adam_0.00034622861705515043,2,4,11.467781066894531,0.3878805637359619,0.6228005886077881,0.46112698316574097,235.07913208007812
9,GRU_CE_2_5_800_60.0_3.0_460.0_0.48_adam_0.00034622861705515043,2,5,10.770317792892456,0.3836662471294403,0.6194079518318176,0.4531261920928955,222.97207641601562
10,GRU_CE_3_1_800_50.0_1.0_780.0_0.41_adam_0.0004978269505708799,3,1,5.678847074508667,0.7049352526664734,0.8396041989326477,0.6730401515960693,456.82928466796875
11,GRU_CE_3_2_800_50.0_1.0_780.0_0.41_adam_0.0004978269505708799,3,2,6.733392715454102,0.5314065217971802,0.7289763689041138,0.5684176087379456,338.7337951660156
12,GRU_CE_3_3_800_50.0_1.0_780.0_0.41_adam_0.0004978269505708799,3,3,6.590867757797241,0.41963550448417664,0.6477928161621094,0.48778048157691956,259.7591857910156
