index,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
439,Transformer_CE_800_40.0_128.0_6.0_0.64_160.0_3.6125042299943215e-05,88,5,47.14807629585266,0.370745450258255,0.6088886857032776,0.44279175996780396,215.3804473876953
159,Transformer_CE_800_20.0_192.0_6.0_0.59_128.0_4.987371460956696e-05,32,5,49.04935050010681,0.37224292755126953,0.6101171374320984,0.4538363218307495,239.37489318847656
259,Transformer_CE_800_50.0_128.0_5.0_0.47_160.0_2.0712000695229228e-05,52,5,76.60933685302734,0.37450626492500305,0.6119691729545593,0.4512609541416168,210.44332885742188
494,Transformer_CE_800_40.0_128.0_6.0_0.61_160.0_3.089290313496427e-05,99,5,69.50807452201843,0.3749988377094269,0.6123715043067932,0.4508397579193115,214.46559143066406
299,Transformer_CE_800_10.0_160.0_6.0_0.59_96.0_4.857550496669394e-05,60,5,109.00167536735535,0.37728193402290344,0.6142327785491943,0.4539807140827179,207.75733947753906
319,Transformer_CE_800_60.0_160.0_4.0_0.69_64.0_2.399812935686317e-05,64,5,79.42168855667114,0.3781144917011261,0.6149101257324219,0.45388665795326233,205.546630859375
179,Transformer_CE_800_60.0_128.0_7.0_0.4_64.0_1.401196116236534e-05,36,5,63.52166795730591,0.3788837492465973,0.615535318851471,0.4557603895664215,201.03993225097656
429,Transformer_CE_800_50.0_224.0_5.0_0.66_96.0_2.061668871913321e-05,86,5,76.80072975158691,0.3798920214176178,0.6163538098335266,0.45820873975753784,246.24142456054688
434,Transformer_CE_800_40.0_160.0_6.0_0.65_128.0_3.7202463283853155e-05,87,5,54.060019969940186,0.3828308582305908,0.6187332272529602,0.456157386302948,220.7354278564453
344,Transformer_CE_800_60.0_128.0_5.0_0.62_64.0_2.2125984293123565e-05,69,5,76.52903747558594,0.38284310698509216,0.6187431216239929,0.4602380096912384,236.70887756347656
189,Transformer_CE_800_50.0_96.0_6.0_0.57_160.0_3.383016532182077e-05,38,5,51.07036471366882,0.38394489884376526,0.6196328401565552,0.46070241928100586,232.4502410888672
79,Transformer_CE_800_60.0_224.0_6.0_0.65_128.0_2.2629454396637538e-05,16,5,49.36934041976929,0.3841163218021393,0.6197711825370789,0.45909708738327026,210.1264190673828
409,Transformer_CE_800_50.0_192.0_6.0_0.57_64.0_2.9500855968070558e-05,82,5,44.31674098968506,0.38425347208976746,0.619881808757782,0.4566366672515869,217.04441833496094
339,Transformer_CE_800_50.0_160.0_4.0_0.69_64.0_1.4840037433399483e-05,68,5,139.001558303833,0.3851735293865204,0.6206234693527222,0.45383819937705994,210.16017150878906
284,Transformer_CE_800_30.0_128.0_6.0_0.63_192.0_2.8366349337045137e-05,57,5,80.5229287147522,0.3866073489189148,0.6217775940895081,0.45074185729026794,236.28482055664062
359,Transformer_CE_800_90.0_160.0_4.0_0.66_64.0_1.0270485415449208e-05,72,5,56.746416091918945,0.38768303394317627,0.6226419806480408,0.4733531177043915,186.8202362060547
404,Transformer_CE_800_40.0_224.0_5.0_0.67_224.0_2.659675446917168e-05,81,5,35.24429202079773,0.38806426525115967,0.6229480504989624,0.4623846709728241,250.1595458984375
459,Transformer_CE_800_30.0_160.0_6.0_0.62_256.0_3.272724447391628e-05,92,5,25.109301805496216,0.3889188766479492,0.623633623123169,0.4585878551006317,225.92771911621094
