index,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,Transformer_CE_1_1_800_60.0_192.0_8.0_0.45_160.0_1.4207111719491705e-05,1,1,23.805236339569092,1.1200275421142578,1.0583134889602661,0.8057529926300049,1295.2099609375
1,Transformer_CE_1_2_800_60.0_192.0_8.0_0.45_160.0_1.4207111719491705e-05,1,2,21.851972103118896,0.6375218629837036,0.7984496355056763,0.6254010796546936,873.863037109375
2,Transformer_CE_1_3_800_60.0_192.0_8.0_0.45_160.0_1.4207111719491705e-05,1,3,28.43647289276123,0.5595436096191406,0.7480264902114868,0.5665982961654663,573.4178466796875
3,Transformer_CE_1_4_800_60.0_192.0_8.0_0.45_160.0_1.4207111719491705e-05,1,4,22.79382824897766,0.45406314730644226,0.6738420724868774,0.500139594078064,599.26611328125
4,Transformer_CE_1_5_800_60.0_192.0_8.0_0.45_160.0_1.4207111719491705e-05,1,5,38.050962924957275,0.3655319809913635,0.6045923829078674,0.44474267959594727,466.24456787109375
5,Transformer_CE_2_1_800_30.0_64.0_7.0_0.56_192.0_2.2866780841049067e-05,2,1,32.21272826194763,0.7128637433052063,0.8443125486373901,0.6220455169677734,919.8003540039062
6,Transformer_CE_2_2_800_30.0_64.0_7.0_0.56_192.0_2.2866780841049067e-05,2,2,42.0607271194458,0.47002989053726196,0.6855872273445129,0.5255704522132874,592.7938842773438
7,Transformer_CE_2_3_800_30.0_64.0_7.0_0.56_192.0_2.2866780841049067e-05,2,3,19.942408561706543,0.45855236053466797,0.6771649122238159,0.511327862739563,495.46875
8,Transformer_CE_2_4_800_30.0_64.0_7.0_0.56_192.0_2.2866780841049067e-05,2,4,49.31432580947876,0.39486944675445557,0.628386378288269,0.46164068579673767,479.46197509765625
9,Transformer_CE_2_5_800_30.0_64.0_7.0_0.56_192.0_2.2866780841049067e-05,2,5,73.16133785247803,0.36246490478515625,0.6020505428314209,0.44494158029556274,496.1920166015625
10,Transformer_CE_3_1_800_40.0_128.0_7.0_0.56_192.0_1.2889536154422788e-05,3,1,34.795865535736084,0.8001511096954346,0.8945116400718689,0.663223147392273,1030.40087890625
11,Transformer_CE_3_2_800_40.0_128.0_7.0_0.56_192.0_1.2889536154422788e-05,3,2,49.65479230880737,0.5013984441757202,0.7080948948860168,0.5272787809371948,680.4393920898438
12,Transformer_CE_3_3_800_40.0_128.0_7.0_0.56_192.0_1.2889536154422788e-05,3,3,54.414628744125366,0.5265997648239136,0.7256719470024109,0.5420241951942444,592.5046997070312
