,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,Transformer_Wallmart_1_1_300_50.0_64.0_7.0_0.45_256.0_4.3018353447442464e-05,1,1,35.32144641876221,4.652662754058838,2.157003164291382,1.7503491640090942,1472.6019287109375
1,Transformer_Wallmart_1_2_300_50.0_64.0_7.0_0.45_256.0_4.3018353447442464e-05,1,2,39.03305721282959,3.8430566787719727,1.9603716135025024,1.6720706224441528,949.3738403320312
2,Transformer_Wallmart_1_3_300_50.0_64.0_7.0_0.45_256.0_4.3018353447442464e-05,1,3,47.583657026290894,5.1255011558532715,2.2639567852020264,1.7619495391845703,1289.057373046875
3,Transformer_Wallmart_1_4_300_50.0_64.0_7.0_0.45_256.0_4.3018353447442464e-05,1,4,43.97723126411438,11.381444931030273,3.3736395835876465,1.9303470849990845,1061.635986328125
4,Transformer_Wallmart_1_5_300_50.0_64.0_7.0_0.45_256.0_4.3018353447442464e-05,1,5,19.96492576599121,6.517414093017578,2.552922487258911,2.065549612045288,1556.6190185546875
5,Transformer_Wallmart_2_1_300_70.0_224.0_8.0_0.63_224.0_3.3084305586745053e-05,2,1,26.460063219070435,38.22450637817383,6.1825971603393555,5.09914493560791,3824.64697265625
6,Transformer_Wallmart_2_2_300_70.0_224.0_8.0_0.63_224.0_3.3084305586745053e-05,2,2,32.058852195739746,7.139934062957764,2.672065496444702,2.173733949661255,1481.9783935546875
7,Transformer_Wallmart_2_3_300_70.0_224.0_8.0_0.63_224.0_3.3084305586745053e-05,2,3,15.595451831817627,93.16612243652344,9.652259826660156,8.616111755371094,5341.689453125
8,Transformer_Wallmart_2_4_300_70.0_224.0_8.0_0.63_224.0_3.3084305586745053e-05,2,4,45.16993427276611,12.56494140625,3.544706106185913,2.1865224838256836,1146.4295654296875
9,Transformer_Wallmart_2_5_300_70.0_224.0_8.0_0.63_224.0_3.3084305586745053e-05,2,5,21.424408674240112,17.513994216918945,4.184972286224365,3.2429378032684326,2413.14990234375
10,Transformer_Wallmart_3_1_300_30.0_224.0_5.0_0.65_480.0_2.2630891007767413e-05,3,1,40.16474890708923,37.8319091796875,6.1507649421691895,5.392308712005615,4017.24560546875
11,Transformer_Wallmart_3_2_300_30.0_224.0_5.0_0.65_480.0_2.2630891007767413e-05,3,2,54.870259046554565,5.544817924499512,2.354743719100952,1.8098504543304443,1582.4976806640625
12,Transformer_Wallmart_3_3_300_30.0_224.0_5.0_0.65_480.0_2.2630891007767413e-05,3,3,16.74902606010437,24.428468704223633,4.942516326904297,4.007263660430908,2077.7978515625
13,Transformer_Wallmart_3_4_300_30.0_224.0_5.0_0.65_480.0_2.2630891007767413e-05,3,4,83.85018801689148,1.3952548503875732,1.1812090873718262,0.8986428380012512,795.0390625
14,Transformer_Wallmart_3_5_300_30.0_224.0_5.0_0.65_480.0_2.2630891007767413e-05,3,5,37.51187300682068,4.4732985496521,2.1150174140930176,1.727720022201538,1606.7666015625
15,Transformer_Wallmart_4_1_300_30.0_64.0_6.0_0.64_160.0_2.578757583046636e-05,4,1,40.080965995788574,39.22494888305664,6.262982368469238,5.171344757080078,3789.48486328125
16,Transformer_Wallmart_4_2_300_30.0_64.0_6.0_0.64_160.0_2.578757583046636e-05,4,2,56.471014738082886,17.647146224975586,4.200850486755371,3.428682804107666,2823.24609375
17,Transformer_Wallmart_4_3_300_30.0_64.0_6.0_0.64_160.0_2.578757583046636e-05,4,3,17.252424955368042,7.500479221343994,2.7387001514434814,2.2003676891326904,1382.7606201171875
18,Transformer_Wallmart_4_4_300_30.0_64.0_6.0_0.64_160.0_2.578757583046636e-05,4,4,84.83269190788269,1.5413910150527954,1.2415276765823364,1.025584101676941,654.3977661132812
19,Transformer_Wallmart_4_5_300_30.0_64.0_6.0_0.64_160.0_2.578757583046636e-05,4,5,98.07433032989502,1.60982346534729,1.2687880992889404,1.0283416509628296,631.1180419921875
20,Transformer_Wallmart_5_1_300_70.0_224.0_7.0_0.57_192.0_3.1592933830718406e-05,5,1,26.44710636138916,20.294658660888672,4.5049591064453125,3.716038703918457,2723.44677734375
21,Transformer_Wallmart_5_2_300_70.0_224.0_7.0_0.57_192.0_3.1592933830718406e-05,5,2,32.22996211051941,11.380650520324707,3.3735218048095703,2.7427918910980225,2167.05224609375
22,Transformer_Wallmart_5_3_300_70.0_224.0_7.0_0.57_192.0_3.1592933830718406e-05,5,3,39.25005054473877,13.716554641723633,3.7035868167877197,2.3329997062683105,1307.38037109375
23,Transformer_Wallmart_5_4_300_70.0_224.0_7.0_0.57_192.0_3.1592933830718406e-05,5,4,45.17519164085388,1.2226237058639526,1.1057231426239014,0.8647889494895935,725.990966796875
24,Transformer_Wallmart_5_5_300_70.0_224.0_7.0_0.57_192.0_3.1592933830718406e-05,5,5,22.248971462249756,30.39650535583496,5.513302326202393,4.72491455078125,3985.861572265625
25,Transformer_Wallmart_6_1_300_60.0_128.0_5.0_0.62_320.0_1.723210937069569e-05,6,1,28.291243314743042,33.14520263671875,5.7571868896484375,4.778133869171143,2541.934814453125
